"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2677","Listar Cartões Físicos sem Resultados","","Mon Aug 04 14:55:49 BRT 2025","failed","Mon Aug 04 14:55:52 BRT 2025","","[CARTÕES] Listar cartões de transporte","",""
"","470","Apelido fornecido (campo opcional)","","Mon Aug 04 14:54:59 BRT 2025","passed","Mon Aug 04 14:55:00 BRT 2025","","[CARTÕES] DIS Cadastrar cartão físico","",""
"","692","Listar QR Codes com status ""EXPIRADO""","","Mon Aug 04 14:56:28 BRT 2025","passed","Mon Aug 04 14:56:29 BRT 2025","","[CARTÕES] Listar QR CODEs gerados de um usuário","",""
"","718","Erro ao Listar Cartões Virtuais","","Mon Aug 04 14:55:59 BRT 2025","passed","Mon Aug 04 14:55:59 BRT 2025","","[CARTÕES] Listar cartões de transporte","",""
"","560","numeroCelular com menos de 13 dígitos","","Mon Aug 04 14:57:08 BRT 2025","passed","Mon Aug 04 14:57:09 BRT 2025","","[Usuários] Consultar dados de usuário PF","",""
"","1421","Listar Cartões Virtuais com Sucesso","","Mon Aug 04 14:55:53 BRT 2025","failed","Mon Aug 04 14:55:55 BRT 2025","","[CARTÕES] Listar cartões de transporte","",""
"","973","Listar Cartões Virtuais sem Resultados","","Mon Aug 04 14:55:57 BRT 2025","passed","Mon Aug 04 14:55:58 BRT 2025","","[CARTÕES] Listar cartões de transporte","",""
"","419","Token não informado - segundo caso","","Mon Aug 04 14:54:57 BRT 2025","passed","Mon Aug 04 14:54:57 BRT 2025","","[CARTÕES] DIS Cadastrar cartão físico","",""
"","471","Consultar saldo sem informar número do cartão (lista de cartões ativos)","","Mon Aug 04 14:55:17 BRT 2025","passed","Mon Aug 04 14:55:18 BRT 2025","","[CARTÕES] Consultar saldo de cartão de transporte de um usuário","",""
"","424","Geração de número de cartão virtual único","","Mon Aug 04 14:55:10 BRT 2025","passed","Mon Aug 04 14:55:10 BRT 2025","","[CARTÕES] DIS Cadastrar cartão virtual","",""
"","528","Tentar listar QR Codes com idCartao inexistente","","Mon Aug 04 14:56:35 BRT 2025","passed","Mon Aug 04 14:56:35 BRT 2025","","[CARTÕES] Listar QR CODEs gerados de um usuário","",""
"","946","Consultar saldo com número de cartão inválido","","Mon Aug 04 14:55:19 BRT 2025","passed","Mon Aug 04 14:55:20 BRT 2025","","[CARTÕES] Consultar saldo de cartão de transporte de um usuário","",""
"","415","Consultar saldo de cartão não vinculado ao usuário","","Mon Aug 04 14:55:20 BRT 2025","passed","Mon Aug 04 14:55:21 BRT 2025","","[CARTÕES] Consultar saldo de cartão de transporte de um usuário","",""
"","903","Listar QR Codes com filtros ""idCartao"" e ""status""","","Mon Aug 04 14:56:29 BRT 2025","passed","Mon Aug 04 14:56:30 BRT 2025","","[CARTÕES] Listar QR CODEs gerados de um usuário","",""
"","541","Token inválido (formato incorreto)","","Mon Aug 04 14:56:59 BRT 2025","passed","Mon Aug 04 14:57:00 BRT 2025","","[Usuários] Consultar dados de usuário PF","",""
"","617","Token válido, mas usuário desativado logicamente","","Mon Aug 04 14:57:04 BRT 2025","passed","Mon Aug 04 14:57:05 BRT 2025","","[Usuários] Consultar dados de usuário PF","",""
"","506","Listar QR Codes com status ""NÃO_UTILIZADO""","","Mon Aug 04 14:56:27 BRT 2025","passed","Mon Aug 04 14:56:28 BRT 2025","","[CARTÕES] Listar QR CODEs gerados de um usuário","",""
"","460","Tentar listar QR Codes com parâmetros inválido","","Mon Aug 04 14:56:38 BRT 2025","passed","Mon Aug 04 14:56:38 BRT 2025","","[CARTÕES] Listar QR CODEs gerados de um usuário","",""
"","415","Cartão inativo não deve retornar saldo","","Mon Aug 04 14:55:23 BRT 2025","passed","Mon Aug 04 14:55:23 BRT 2025","","[CARTÕES] Consultar saldo de cartão de transporte de um usuário","",""
"","564","Usuário não encontrado na base de dados","","Mon Aug 04 14:57:03 BRT 2025","passed","Mon Aug 04 14:57:04 BRT 2025","","[Usuários] Consultar dados de usuário PF","",""
"","544","Tentar listar QR Codes com status inválido","","Mon Aug 04 14:56:38 BRT 2025","passed","Mon Aug 04 14:56:39 BRT 2025","","[CARTÕES] Listar QR CODEs gerados de um usuário","",""
"","552","Alta latência na resposta","","Mon Aug 04 14:57:13 BRT 2025","passed","Mon Aug 04 14:57:14 BRT 2025","","[Usuários] Consultar dados de usuário PF","",""
"","1079","email com mais de 150 caracteres (erro de consistência)","","Mon Aug 04 14:57:06 BRT 2025","passed","Mon Aug 04 14:57:07 BRT 2025","","[Usuários] Consultar dados de usuário PF","",""
"","712","Timeout na integração com operadora","","Mon Aug 04 14:55:22 BRT 2025","passed","Mon Aug 04 14:55:23 BRT 2025","","[CARTÕES] Consultar saldo de cartão de transporte de um usuário","",""
"","409","Tentar consultar extrato de cartão em São Paulo sem integração","","Mon Aug 04 14:55:31 BRT 2025","passed","Mon Aug 04 14:55:31 BRT 2025","","[CARTÕES] Detalhar extrato de cartão  de transporte  de um usuário","",""
"","546","Consultar saldo de cartão com operadora de integração própria","","Mon Aug 04 14:55:21 BRT 2025","passed","Mon Aug 04 14:55:22 BRT 2025","","[CARTÕES] Consultar saldo de cartão de transporte de um usuário","",""
"","740","Listar QR Codes quando nenhum resultado é encontrado","","Mon Aug 04 14:56:30 BRT 2025","passed","Mon Aug 04 14:56:31 BRT 2025","","[CARTÕES] Listar QR CODEs gerados de um usuário","",""
"","656","Token Inválido ou Ausente","","Mon Aug 04 14:56:04 BRT 2025","passed","Mon Aug 04 14:56:05 BRT 2025","","[CARTÕES] Listar cartões de transporte","",""
"","575","Gerar QR Code para um cartão virtual existente e vinculado","","Mon Aug 04 14:55:37 BRT 2025","passed","Mon Aug 04 14:55:38 BRT 2025","","[CARTÕES] Gerar QRCODE de cartão virtual para um usuário","",""
"","758","Cadastro com apelido vazio ou em branco","","Mon Aug 04 14:55:11 BRT 2025","passed","Mon Aug 04 14:55:12 BRT 2025","","[CARTÕES] DIS Cadastrar cartão virtual","",""
"","782","Tentar listar QR Codes sem informar ""idCartao"" nem ""status""","","Mon Aug 04 14:56:39 BRT 2025","passed","Mon Aug 04 14:56:40 BRT 2025","","[CARTÕES] Listar QR CODEs gerados de um usuário","",""
"","736","Listar Cartões Inativos sem Resultados","","Mon Aug 04 14:56:01 BRT 2025","passed","Mon Aug 04 14:56:02 BRT 2025","","[CARTÕES] Listar cartões de transporte","",""
"","483","Consultar saldo de cartão com número válido","","Mon Aug 04 14:55:17 BRT 2025","passed","Mon Aug 04 14:55:17 BRT 2025","","[CARTÕES] Consultar saldo de cartão de transporte de um usuário","",""
"","499","Gerar QR Code sem informar idCartao (retorna todos os cartões virtuais do usuário)","","Mon Aug 04 14:55:38 BRT 2025","passed","Mon Aug 04 14:55:39 BRT 2025","","[CARTÕES] Gerar QRCODE de cartão virtual para um usuário","",""
"","408","idCartao é de um cartão físico","","Mon Aug 04 14:55:41 BRT 2025","passed","Mon Aug 04 14:55:41 BRT 2025","","[CARTÕES] Gerar QRCODE de cartão virtual para um usuário","",""
"","626","Listar Cartões Inativos com Sucesso","","Mon Aug 04 14:56:00 BRT 2025","passed","Mon Aug 04 14:56:01 BRT 2025","","[CARTÕES] Listar cartões de transporte","",""
"","755","Verificar estrutura do QR Code gerado","","Mon Aug 04 14:55:42 BRT 2025","failed","Mon Aug 04 14:55:42 BRT 2025","","[CARTÕES] Gerar QRCODE de cartão virtual para um usuário","",""
